assembly	chromosome	region	kind	start_bp	end_bp	start_cm	end_cm	entries	file	source	md5
GRCh37	1	full	empirical	55550	249218992	0	286.279234	256895	genetic_maps.b37/chr1.b37.gmap.gz	GLIMPSE-pinned-upstream	15f098ee8a9f803657608559eef3bc2a
GRCh37	2	full	empirical	12994	243090997	0	268.839622	286355	genetic_maps.b37/chr2.b37.gmap.gz	GLIMPSE-pinned-upstream	20b2a865e5d04daf5d0c5422934bf1ac
GRCh37	3	full	empirical	61113	197874528	0	223.361095	223360	genetic_maps.b37/chr3.b37.gmap.gz	GLIMPSE-pinned-upstream	53e7da0e5a2f4bb96007fd57f46dfa4d
GRCh37	4	full	empirical	12906	191028645	0	214.688476	211115	genetic_maps.b37/chr4.b37.gmap.gz	GLIMPSE-pinned-upstream	ff22f04a9120ae90a185f6926b7ff4bf
GRCh37	5	full	empirical	20583	180715810	0	204.089357	215414	genetic_maps.b37/chr5.b37.gmap.gz	GLIMPSE-pinned-upstream	c04e073550d715ce52ae35070b241080
GRCh37	6	full	empirical	92012	171051316	0	192.039918	234422	genetic_maps.b37/chr6.b37.gmap.gz	GLIMPSE-pinned-upstream	4d30099024d5f233002d06452a02f1f0
GRCh37	7	full	empirical	35326	159126774	0	187.2205	184230	genetic_maps.b37/chr7.b37.gmap.gz	GLIMPSE-pinned-upstream	6ed4dffb52b64fd41d08d6ee24dce481
GRCh37	8	full	empirical	163784	146301156	0	168.003442	191062	genetic_maps.b37/chr8.b37.gmap.gz	GLIMPSE-pinned-upstream	2c08a6ce3794727358aa561e32a9e9d8
GRCh37	9	full	empirical	40910	141109979	0	166.359329	158000	genetic_maps.b37/chr9.b37.gmap.gz	GLIMPSE-pinned-upstream	16ce9f506b8021f10ce153e7ad4efe40
GRCh37	10	full	empirical	72765	135503693	0	181.144008	180748	genetic_maps.b37/chr10.b37.gmap.gz	GLIMPSE-pinned-upstream	1577d94878ae48221a61138b23614c5d
GRCh37	11	full	empirical	198062	134945522	0	158.21865	168864	genetic_maps.b37/chr11.b37.gmap.gz	GLIMPSE-pinned-upstream	17eced1fd1a0e5004ddb8885c3f35229
GRCh37	12	full	empirical	148673	133778796	0	174.679023	165357	genetic_maps.b37/chr12.b37.gmap.gz	GLIMPSE-pinned-upstream	f344922e561ab44833adc784902527ea
GRCh37	13	full	empirical	19021222	115106996	0	125.706316	136654	genetic_maps.b37/chr13.b37.gmap.gz	GLIMPSE-pinned-upstream	67d9d33ffbd5cf83827ce94580d1cf4f
GRCh37	14	full	empirical	19619850	107288377	0	120.202583	107959	genetic_maps.b37/chr14.b37.gmap.gz	GLIMPSE-pinned-upstream	b2789eb933822d541e632fab3d699de5
GRCh37	15	full	empirical	20014981	102506108	0	141.860238	93109	genetic_maps.b37/chr15.b37.gmap.gz	GLIMPSE-pinned-upstream	147747b1cd2b5489673adeb702b2a999
GRCh37	16	full	empirical	84045	90163588	0	134.037726	92994	genetic_maps.b37/chr16.b37.gmap.gz	GLIMPSE-pinned-upstream	539f4c2b35f99cc9b65688eab04ee0e7
GRCh37	17	full	empirical	13043	81045269	0	128.490529	74674	genetic_maps.b37/chr17.b37.gmap.gz	GLIMPSE-pinned-upstream	ebae4ac90a42c3d4689ba5ff30b322e1
GRCh37	18	full	empirical	11523	78015180	0	117.708923	102713	genetic_maps.b37/chr18.b37.gmap.gz	GLIMPSE-pinned-upstream	46a914bc6aed6fa59586adc95c0d9af6
GRCh37	19	full	empirical	253938	59097160	0	107.733846	46964	genetic_maps.b37/chr19.b37.gmap.gz	GLIMPSE-pinned-upstream	7f50869431d2dda78a506c1da95ac037
GRCh37	20	full	empirical	61795	62949445	0	108.266934	82962	genetic_maps.b37/chr20.b37.gmap.gz	GLIMPSE-pinned-upstream	e4cfb4b146f60a35b085b64e46f9e786
GRCh37	21	full	empirical	10865933	48100155	0	62.786478	44720	genetic_maps.b37/chr21.b37.gmap.gz	GLIMPSE-pinned-upstream	1cae177d312d2dda2dd8c6215a0643ee
GRCh37	22	full	empirical	16051347	51229805	0	74.109562	45329	genetic_maps.b37/chr22.b37.gmap.gz	GLIMPSE-pinned-upstream	aafde346d37b3a7e09e58a4cbb3b5b31
GRCh37	X	nonpar	empirical	2703391	154929412	0	180.837755	89589	genetic_maps.b37/chrX.b37.gmap.gz	GLIMPSE-pinned-upstream	9a49b65c2c2cdd1ff91b9f3b641f82bd
GRCh37	X	par1	empirical	150118	2695340	0	20.837792	1383	genetic_maps.b37/chrX_par1.b37.gmap.gz	GLIMPSE-pinned-upstream	dfed78356436aa94294d0e1e7ca7fc46
GRCh37	X	par2	empirical	154969038	155235078	0	0.347344	179	genetic_maps.b37/chrX_par2.b37.gmap.gz	GLIMPSE-pinned-upstream	2a99da133d97d88ae7ae175430dd1542
GRCh37	Y	nonpar	zero-recombination	2649521	59034049	0	0	2	genetic_maps.b37/chrY.b37.gmap.gz	RGlimpse2-derived	6f8ddcdffc0a064f2e2688083e0d5705
GRCh37	MT	full	zero-recombination	1	16569	0	0	2	genetic_maps.b37/chrMT.b37.gmap.gz	RGlimpse2-derived	d915c35eb0e1d41b1e06a66fbbd054f1
GRCh38	1	full	empirical	55550	248924793	0	286.279234	255802	genetic_maps.b38/chr1.b38.gmap.gz	GLIMPSE-pinned-upstream	42a89f09643b0d45aaa0bede136a19d4
GRCh38	2	full	empirical	12994	242148846	0	268.839622	286250	genetic_maps.b38/chr2.b38.gmap.gz	GLIMPSE-pinned-upstream	604b5992c3dfbbb48f79087144c060ec
GRCh38	3	full	empirical	19435	198147657	0	223.361095	223321	genetic_maps.b38/chr3.b38.gmap.gz	GLIMPSE-pinned-upstream	20e93ae3a798af262eef9484a48990e4
GRCh38	4	full	empirical	12906	190107490	0	214.688476	211107	genetic_maps.b38/chr4.b38.gmap.gz	GLIMPSE-pinned-upstream	4075019f09386c643cbd401b5913a762
GRCh38	5	full	empirical	20583	181288809	0	204.089357	215410	genetic_maps.b38/chr5.b38.gmap.gz	GLIMPSE-pinned-upstream	6d4ad17a944aa066bf98910842b83378
GRCh38	6	full	empirical	92012	170742228	0	192.039918	233717	genetic_maps.b38/chr6.b38.gmap.gz	GLIMPSE-pinned-upstream	1ba796464dba70f9f821f8e4d4d701a6
GRCh38	7	full	empirical	35326	159334084	0	187.2205	183805	genetic_maps.b38/chr7.b38.gmap.gz	GLIMPSE-pinned-upstream	cdf52e0a1d66906cf3a0d5551314cf3f
GRCh38	8	full	empirical	213784	145075770	0	168.003442	190783	genetic_maps.b38/chr8.b38.gmap.gz	GLIMPSE-pinned-upstream	d17c88a0232f7e682e51b64f9f59a07e
GRCh38	9	full	empirical	40910	138219529	0	166.359329	157860	genetic_maps.b38/chr9.b38.gmap.gz	GLIMPSE-pinned-upstream	3b413b9832ef6448fe7882192957c29e
GRCh38	10	full	empirical	48232	133766368	0.002664	181.144008	180053	genetic_maps.b38/chr10.b38.gmap.gz	GLIMPSE-pinned-upstream	6d3243dac72c4b414bb226c62fbd9ce6
GRCh38	11	full	empirical	198062	135075628	0	158.21865	168609	genetic_maps.b38/chr11.b38.gmap.gz	GLIMPSE-pinned-upstream	671919a8623297a3d379e21a1a204d4b
GRCh38	12	full	empirical	45488	133202210	0.005415	174.679023	165327	genetic_maps.b38/chr12.b38.gmap.gz	GLIMPSE-pinned-upstream	42c3789434102e0ae6257ff0ea354a48
GRCh38	13	full	empirical	18447081	114341521	0	125.706316	136637	genetic_maps.b38/chr13.b38.gmap.gz	GLIMPSE-pinned-upstream	92a77b99e7593fa890382b166e1a9b93
GRCh38	14	full	empirical	19032163	106880170	0	120.202583	107673	genetic_maps.b38/chr14.b38.gmap.gz	GLIMPSE-pinned-upstream	b01af2dc15eb5a20a5f0f2c12b7afdcd
GRCh38	15	full	empirical	19809728	101965905	0	141.860238	92744	genetic_maps.b38/chr15.b38.gmap.gz	GLIMPSE-pinned-upstream	64efb5eb9e51ae8acf58d665b122afe5
GRCh38	16	full	empirical	34045	90097180	0	134.037726	92994	genetic_maps.b38/chr16.b38.gmap.gz	GLIMPSE-pinned-upstream	406574ecb5855fd45aea221c89384413
GRCh38	17	full	empirical	163252	83087393	0	128.490529	74565	genetic_maps.b38/chr17.b38.gmap.gz	GLIMPSE-pinned-upstream	4f1596e8cc1d955d343e6078f9472654
GRCh38	18	full	empirical	11523	80257297	0	117.708923	102704	genetic_maps.b38/chr18.b38.gmap.gz	GLIMPSE-pinned-upstream	26b6af1e773ce77db33b1a052793c97c
GRCh38	19	full	empirical	253938	58585793	0	107.733846	46838	genetic_maps.b38/chr19.b38.gmap.gz	GLIMPSE-pinned-upstream	40f35c074f5ce3aec63ecc3cb9561060
GRCh38	20	full	empirical	81154	64318092	0	108.266934	82942	genetic_maps.b38/chr20.b38.gmap.gz	GLIMPSE-pinned-upstream	db624eac915098c6c38fb822f6318768
GRCh38	21	full	empirical	10326676	46680243	0.584144	62.786478	44618	genetic_maps.b38/chr21.b38.gmap.gz	GLIMPSE-pinned-upstream	67ebd8d686b3cddd00201d352e82b039
GRCh38	22	full	empirical	15287922	50791377	1.457757	74.109562	45141	genetic_maps.b38/chr22.b38.gmap.gz	GLIMPSE-pinned-upstream	49c74802109eef3b51e8548021baca1b
GRCh38	X	nonpar	empirical	2785350	155699751	0	180.837755	89236	genetic_maps.b38/chrX.b38.gmap.gz	GLIMPSE-pinned-upstream	368f854f1e16d15b037e4ce92a1dd0cc
GRCh38	X	par1	empirical	233451	2777299	0	20.837792	1383	genetic_maps.b38/chrX_par1.b38.gmap.gz	GLIMPSE-pinned-upstream	61bfe10c7e8ba5871ffccbd011d0ccbd
GRCh38	X	par2	empirical	155739376	156005413	0	0.347344	179	genetic_maps.b38/chrX_par2.b38.gmap.gz	GLIMPSE-pinned-upstream	b19ef11d2fa457e0568e457dcb24873b
GRCh38	Y	nonpar	zero-recombination	2781480	56887902	0	0	2	genetic_maps.b38/chrY.b38.gmap.gz	RGlimpse2-derived	0560f6197001529ca7caeb7ff37d763e
GRCh38	MT	full	zero-recombination	1	16569	0	0	2	genetic_maps.b38/chrMT.b38.gmap.gz	RGlimpse2-derived	d915c35eb0e1d41b1e06a66fbbd054f1
